PlaylistName,TrackName,AlbumTitle,ArtistName,Genre,Composer,DurationMinutes,UnitPrice
90’s Music,Adoled (Ocean),Os Cães Ladram Mas A Caravana Não Pára,Planet Hemp,Hip Hop/Rap,,3.09,0.99
90’s Music,Afraid,Motley Crue Greatest Hits,Mötley Crüe,Metal,Nikki Sixx,4.13,0.99
90’s Music,Afraid To Shoot Strangers,A Real Live One,Iron Maiden,Metal,Steve Harris,6.8,0.99
90’s Music,Afraid To Shoot Strangers,Fear Of The Dark,Iron Maiden,Rock,Steve Harris,6.94,0.99
90’s Music,Afraid To Shoot Strangers,Live At Donington 1992 (Disc 1),Iron Maiden,Rock,,6.88,0.99
90’s Music,Africa Bamba,Supernatural,Santana,Rock,"I. Toure, S. Tidiane Toure, Carlos Santana & K. Perazzo",4.71,0.99
90’s Music,After Midnight,The Cream Of Clapton,Eric Clapton,Blues,Clapton/J. J. Cale,3.19,0.99
90’s Music,Aftermath,Transmission,The Tea Party,Alternative & Punk,The Tea Party,5.73,0.99
90’s Music,Agora Que O Dia Acordou,The Best of Ed Motta,Ed Motta,Latin,,5.39,0.99
90’s Music,Ain't My Bitch,Load,Metallica,Metal,"James Hetfield, Lars Ulrich",5.07,0.99
90’s Music,Ainda É Cedo,Mais Do Mesmo,Legião Urbana,Latin,Dado Villa-Lobos/Ico Ouro-Preto/Marcelo Bonfá,3.95,0.99
90’s Music,Alarum,Transmission,The Tea Party,Alternative & Punk,The Tea Party,4.97,0.99
90’s Music,Alberta,Unplugged,Eric Clapton,Blues,Traditional,3.71,0.99
90’s Music,"Alegria, Alegria",Minha Historia,Chico Buarque,Latin,,2.82,0.99
90’s Music,Alive,Ten,Pearl Jam,Rock,Stone Gossard,5.68,0.99
90’s Music,All I Really Want,Jagged Little Pill,Alanis Morissette,Rock,Alanis Morissette & Glenn Ballard,4.75,0.99
90’s Music,All I Want Is You,The Best Of 1980-1990,U2,Rock,U2 & Van Dyke Parks,9.87,0.99
90’s Music,All My Love,House of Pain,House Of Pain,Hip Hop/Rap,E. Schrody/L. Dimant,3.34,0.99
90’s Music,All Night Thing,Temple of the Dog,Temple of the Dog,Alternative,,3.86,0.99
90’s Music,Aloha,A TempestadeTempestade Ou O Livro Dos Dias,Legião Urbana,Latin,Renato Russo,5.43,0.99
90’s Music,Always Be All Right,Jota Quest-1995,Jota Quest,Latin,,2.13,0.99
90’s Music,Always Forever Now,Original Soundtracks 1,Passengers,Soundtrack,"Brian Eno, Bono, Adam Clayton, The Edge & Larry Mullen Jnr.",6.4,0.99
90’s Music,"Always With Me, Always With You",Surfing with the Alien (Remastered),Joe Satriani,Rock,,3.37,0.99
90’s Music,Am I Evil?,Garage Inc. (Disc 2),Metallica,Metal,Harris/Tatler,7.84,0.99
90’s Music,Amanhã Não Se Sabe,Volume Dois,Titãs,Alternative & Punk,Sérgio Britto,3.16,0.99
90’s Music,Amar É Tudo,Djavan Ao Vivo - Vol. 1,Djavan,Latin,Djavan,3.53,0.99
90’s Music,Amazing,Big Ones,Aerosmith,Rock,"Steven Tyler, Richie Supa",5.94,0.99
90’s Music,Amor De Muito,Afrociberdelia,Chico Science & Nação Zumbi,Latin,Chico Science,2.92,0.99
90’s Music,Aneurysm,From The Muddy Banks Of The Wishkah [Live],Nirvana,Rock,Nirvana,4.53,0.99
90’s Music,Angel,Big Ones,Aerosmith,Rock,"Steven Tyler, Desmond Child",5.13,0.99
90’s Music,Angel,Greatest Hits,Lenny Kravitz,Rock,Carolyn Franklin and Sonny Saunders,4.01,0.99
90’s Music,Angel Of Harlem,The Best Of 1980-1990,U2,Rock,U2,3.84,0.99
90’s Music,Animal,Vault: Def Leppard's Greatest Hits,Def Leppard,Rock,,4.08,0.99
90’s Music,Animal,Vs.,Pearl Jam,Rock,Dave Abbruzzese/Eddie Vedder/Jeff Ament/Mike McCready/Stone Gossard,2.82,0.99
90’s Music,Antene Se,Da Lama Ao Caos,Chico Science & Nação Zumbi,Latin,,4.14,0.99
90’s Music,Antes Das Seis,Mais Do Mesmo,Legião Urbana,Latin,Dado Villa-Lobos,3.15,0.99
90’s Music,Anthem,Retrospective I (1974-1980),Rush,Rock,Geddy Lee And Alex Lifeson/Geddy Lee And Neil Peart/Rush,4.41,0.99
90’s Music,Anya,The Battle Rages On,Deep Purple,Rock,jon lord/roger glover,6.54,0.99
90’s Music,Apache Rose Peacock,Blood Sugar Sex Magik,Red Hot Chili Peppers,Alternative & Punk,Anthony Kiedis/Chad Smith/Flea/John Frusciante,4.7,0.99
90’s Music,Aquele Abraço,Unplugged,Eric Clapton,Latin,Gilberto Gil,4.4,0.99
90’s Music,"Aria Mit 30 Veränderungen, BWV 988 ""Goldberg Variations"": Aria",Bach: Goldberg Variations,Wilhelm Kempff,Classical,Johann Sebastian Bach,2.01,0.99
90’s Music,Armageddon It,Vault: Def Leppard's Greatest Hits,Def Leppard,Rock,,5.37,0.99
90’s Music,Army Ants,Transmission,The Tea Party,Alternative & Punk,The Tea Party,3.59,0.99
90’s Music,Around The World,Californication,Red Hot Chili Peppers,Rock,Anthony Kiedis/Chad Smith/Flea/John Frusciante,3.98,0.99
90’s Music,As Dores do Mundo,Jota Quest-1995,Jota Quest,Latin,Hyldon,4.26,0.99
90’s Music,As The Years Go by,Santana - As Years Go By,Santana,Rock,Albert King,3.88,0.99
90’s Music,As We Sleep,Heart of the Night,Spyro Gyra,Jazz,,5.28,0.99
90’s Music,Asas,Deixa Entrar,Falamansa,Latin,,3.87,0.99
90’s Music,Ashes To Ashes,Album Of The Year,Faith No More,Alternative & Punk,Bill Gould/Jon Hudson/Mike Bordin/Mike Patton/Roddy Bottum,3.62,0.99
90’s Music,Astronomy,Garage Inc. (Disc 1),Metallica,Metal,A.Bouchard/J.Bouchard/S.Pearlman,6.63,0.99
90’s Music,Atrás Da Verd-E-Rosa Só Não Vai Quem Já Morreu,Prenda Minha,Caetano Veloso,Latin,David Corrêa - Paulinho Carvalho - Carlos Sena - Bira do Ponto,5.12,0.99
90’s Music,Attitude,ReLoad,Metallica,Metal,"Hetfield, Ulrich",5.26,0.99
90’s Music,Ava Adore,Rotten Apples: Greatest Hits,Smashing Pumpkins,Alternative & Punk,Billy Corgan,4.36,0.99
90’s Music,Ave Maria,A Soprano Inspired,"Britten Sinfonia, Ivor Bolton & Lesley Garrett",Classical,Franz Schubert,5.64,0.99
90’s Music,Azul,Djavan Ao Vivo - Vol. 1,Djavan,Latin,Djavan,4.23,0.99
90’s Music,Açai,Djavan Ao Vivo - Vol. 1,Djavan,Latin,Djavan,4.52,0.99
90’s Music,Baby Break It Down,Voodoo Lounge,The Rolling Stones,Rock,Jagger/Richards,4.16,0.99
90’s Music,Babyface,Zooropa,U2,Rock,U2; Bono,4.03,0.99
90’s Music,Babylon,Tangents,The Tea Party,Alternative & Punk,The Tea Party,2.83,0.99
90’s Music,Babylon,Transmission,The Tea Party,Alternative & Punk,The Tea Party,4.87,0.99
90’s Music,Back off Bitch,Use Your Illusion I,Guns N' Roses,Rock,,5.06,0.99
90’s Music,Bad,The Best Of 1980-1990,U2,Rock,U2,5.86,0.99
90’s Music,Bad Apples,Use Your Illusion I,Guns N' Roses,Rock,,4.47,0.99
90’s Music,Bad Attitude,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,Deep Purple,Rock,"Richie Blackmore, Ian Gillian, Roger Glover, Jon Lord",5.13,0.99
90’s Music,Bad Boy,BackBeat Soundtrack,BackBeat,Rock And Roll,Larry Williams,1.93,0.99
90’s Music,Bad Obsession,Use Your Illusion I,Guns N' Roses,Rock,,5.47,0.99
90’s Music,Bad Seed,ReLoad,Metallica,Metal,"Hetfield, Ulrich, Hammett",4.09,0.99
90’s Music,Badge,The Cream Of Clapton,Eric Clapton,Blues,Clapton/Harrison,2.73,0.99
90’s Music,Baixo Rio,The Best of Ed Motta,Ed Motta,Latin,,3.3,0.99
90’s Music,Baião Ambiental [Instrumental],Afrociberdelia,Chico Science & Nação Zumbi,Latin,Chico Science,2.54,0.99
90’s Music,Balada Da Paula,Roda De Funk,Funk Como Le Gusta,Latin,Emerson Villani,5.38,0.99
90’s Music,Ballot or the Bullet,Van Halen III,Van Halen,Rock,Van Halen,5.7,0.99
90’s Music,Banditismo Por Uma Questa,Da Lama Ao Caos,Chico Science & Nação Zumbi,Latin,,5.12,0.99
90’s Music,Banditismo Por Uma Questa,Da Lama Ao Caos,Chico Science & Nação Zumbi,Latin,,4.06,0.99
90’s Music,Bankrobber,The Singles,The Clash,Alternative & Punk,Joe Strummer/Mick Jones,4.54,0.99
90’s Music,Basket Case,International Superhits,Green Day,Alternative & Punk,Billie Joe Armstrong -Words Green Day -Music,3.03,0.99
90’s Music,Bass Trap,B-Sides 1980-1990,U2,Rock,U2,3.55,0.99
90’s Music,Bastille Day,Retrospective I (1974-1980),Rush,Rock,Geddy Lee And Alex Lifeson/Geddy Lee And Neil Peart/Rush,4.68,0.99
90’s Music,Be Aggressive,Angel Dust,Faith No More,Alternative & Punk,,3.71,0.99
90’s Music,Be Mine,New Adventures In Hi-Fi,R.E.M.,Rock,Bill Berry-Peter Buck-Mike Mills-Michael Stipe,5.55,0.99
90’s Music,Be Quick Or Be Dead,A Real Live One,Iron Maiden,Metal,Bruce Dickinson/Janick Gers,3.28,0.99
90’s Music,Be Quick Or Be Dead,Fear Of The Dark,Iron Maiden,Rock,Bruce Dickinson/Janick Gers,3.41,0.99
90’s Music,Be Quick Or Be Dead,Live At Donington 1992 (Disc 1),Iron Maiden,Rock,,3.89,0.99
90’s Music,Beach Sequence,Original Soundtracks 1,Passengers,Soundtrack,"Brian Eno, Bono, Adam Clayton, The Edge & Larry Mullen Jnr.",3.54,0.99
90’s Music,Been A Son,From The Muddy Banks Of The Wishkah [Live],Nirvana,Rock,Kurt Cobain,2.13,0.99
90’s Music,Before You Accuse Me,Unplugged,Eric Clapton,Blues,Eugene McDaniel,3.74,0.99
90’s Music,Beira Mar,Unplugged,Eric Clapton,Latin,Gilberto Gil,4.92,0.99
90’s Music,Believe,Heart of the Night,Spyro Gyra,Jazz,,5.18,0.99
90’s Music,Believe,Judas 0: B-Sides and Rarities,Smashing Pumpkins,Alternative & Punk,James Iha,3.22,0.99
90’s Music,Bell Bottom Blues,The Cream Of Clapton,Eric Clapton,Blues,Clapton,5.08,0.99
90’s Music,Belong,Out Of Time,R.E.M. Feat. Kate Pearson,Alternative & Punk,Bill Berry/Michael Stipe/Mike Mills/Peter Buck,4.12,0.99
90’s Music,Bem Devagar,Prenda Minha,Caetano Veloso,Latin,Gilberto Gil,2.22,0.99
90’s Music,Best Thing,Heart of the Night,Spyro Gyra,Jazz,,4.57,0.99
90’s Music,Beth,Greatest Kiss,Kiss,Rock,"S. Penridge, Bob Ezrin, Peter Criss",2.78,0.99
90’s Music,Beth,Unplugged [Live],Kiss,Rock,"Peter Criss, Stan Penridge, Bob Ezrin",2.84,0.99
90’s Music,Better Man,Live On Two Legs [Live],Pearl Jam,Rock,Eddie Vedder,4.1,0.99
90’s Music,Better Than You,ReLoad,Metallica,Metal,"Hetfield, Ulrich",5.38,0.99
90’s Music,Bichos Escrotos (Vinheta),Acústico,Titãs,Alternative & Punk,Titãs,1.75,0.99
90’s Music,Binky The Doormat,New Adventures In Hi-Fi,R.E.M.,Rock,Bill Berry-Peter Buck-Mike Mills-Michael Stipe,5.03,0.99
90’s Music,Biruta,Os Cães Ladram Mas A Caravana Não Pára,Planet Hemp,Hip Hop/Rap,,3.55,0.99
90’s Music,Bitter Pill,Motley Crue Greatest Hits,Mötley Crüe,Metal,Mick Mars/Nikki Sixx/Tommy Lee/Vince Neil,4.45,0.99
90’s Music,Bittersweet Me,New Adventures In Hi-Fi,R.E.M.,Rock,Bill Berry-Peter Buck-Mike Mills-Michael Stipe,4.1,0.99
90’s Music,Black,Live On Two Legs [Live],Pearl Jam,Rock,Stone Gossard & Eddie Vedder,6.93,0.99
90’s Music,Black,Ten,Pearl Jam,Rock,Dave Krusen/Stone Gossard,5.73,0.99
90’s Music,Black Capricorn Day,Synkronized,Jamiroquai,R&B/Soul,Jay Kay,5.69,0.99
90’s Music,Black Diamond,Greatest Kiss,Kiss,Rock,Paul Stanley,5.24,0.99
90’s Music,Black Dog,BBC Sessions [Disc 2] [Live],Led Zeppelin,Rock,John Paul Jones/Robert Plant,5.29,0.99
90’s Music,Black Hole Sun,A-Sides,Soundgarden,Rock,Soundgarden,5.34,0.99
90’s Music,Black Light Syndrome,[1997] Black Light Syndrome,"Terry Bozzio, Tony Levin & Steve Stevens",Rock,"Terry Bozzio, Steve Stevens, Tony Levin",8.77,0.99
90’s Music,Black Night,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,Deep Purple,Rock,"Richie Blackmore, Ian Gillian, Roger Glover, Jon Lord, Ian Paice",6.15,0.99
90’s Music,Black Sabbath,Speak of the Devil,Ozzy Osbourne,Rock,,6.07,0.99
90’s Music,Bleed The Freak,Facelift,Alice In Chains,Rock,Jerry Cantrell,4.03,0.99
90’s Music,Bleed Together,A-Sides,Soundgarden,Rock,Chris Cornell,3.87,0.99
90’s Music,Bleeding Me,Load,Metallica,Metal,"James Hetfield, Lars Ulrich, Kirk Hammett",8.3,0.99
90’s Music,Blew,From The Muddy Banks Of The Wishkah [Live],Nirvana,Rock,Kurt Cobain,3.61,0.99
90’s Music,Blind Man,Big Ones,Aerosmith,Rock,"Steven Tyler, Joe Perry, Taylor Rhodes",4.01,0.99
90’s Music,Blinded By Rainbows,Voodoo Lounge,The Rolling Stones,Rock,Jagger/Richards,4.57,0.99
90’s Music,Blitzkrieg,Garage Inc. (Disc 2),Metallica,Metal,Jones/Sirotto/Smith,3.61,0.99
90’s Music,Blood,Vs.,Pearl Jam,Rock,Dave Abbruzzese/Eddie Vedder/Jeff Ament/Mike McCready/Stone Gossard,2.84,0.99
90’s Music,Blood On The World's Hands,The X Factor,Iron Maiden,Rock,Steve Harris,5.96,0.99
90’s Music,Blood Sugar Sex Magik,Blood Sugar Sex Magik,Red Hot Chili Peppers,Alternative & Punk,Anthony Kiedis/Chad Smith/Flea/John Frusciante,4.52,0.99
90’s Music,Blow Up The Outside World,A-Sides,Soundgarden,Rock,Chris Cornell,5.8,0.99
90’s Music,Blow Your Mind,Emergency On Planet Earth,Jamiroquai,Rock,"Smith, Toby",8.54,0.99
90’s Music,Blue Train,Walking Into Clarksdale,Page & Plant,Rock,"Jimmy Page, Robert Plant, Charlie Jones, Michael Lee",6.75,0.99
90’s Music,Boa Noite,Djavan Ao Vivo - Vol. 02,Djavan,Latin,,5.65,0.99
90’s Music,Bodies,Cesta Básica,Raimundos,Alternative & Punk,Rodolfo,3.0,0.99
90’s Music,Body Count,Body Count,Body Count,Alternative & Punk,,5.3,0.99
90’s Music,Body Count Anthem,Body Count,Body Count,Alternative & Punk,,2.77,0.99
90’s Music,Body Count's In The House,Body Count,Body Count,Alternative & Punk,,3.4,0.99
90’s Music,Book Of Thel,Chemical Wedding,Bruce Dickinson,Metal,Eddie Casillas/Roy Z,8.24,0.99
90’s Music,Book of Hours,[1997] Black Light Syndrome,"Terry Bozzio, Tony Levin & Steve Stevens",Rock,"Terry Bozzio, Steve Stevens, Tony Levin",9.72,0.99
90’s Music,Bora-Bora,Acústico MTV,Os Paralamas Do Sucesso,Latin,Herbert Vianna,3.05,0.99
90’s Music,Bossa,Os Cães Ladram Mas A Caravana Não Pára,Planet Hemp,Hip Hop/Rap,,0.48,0.99
90’s Music,Bowels Of The Devil,Body Count,Body Count,Alternative & Punk,,3.72,0.99
90’s Music,Brain Stew,International Superhits,Green Day,Alternative & Punk,Billie Joe Armstrong -Words Green Day -Music,3.22,0.99
90’s Music,Brand New Car,Voodoo Lounge,The Rolling Stones,Rock,Jagger/Richards,4.27,0.99
90’s Music,Brasília 5:31,Acústico MTV,Os Paralamas Do Sucesso,Latin,Herbert Vianna,2.97,0.99
90’s Music,Breadfan,Garage Inc. (Disc 2),Metallica,Metal,Bourge/Phillips/Shelley,5.69,0.99
90’s Music,Breakdown,Use Your Illusion II,Guns N' Roses,Metal,W. Axl Rose,7.08,0.99
90’s Music,Breakfast In Bed,Slaves And Masters,Deep Purple,Rock,"Blackmore, Glover, Turner",5.29,0.99
90’s Music,Breakfast In Bed,UB40 The Best Of - Volume Two [UK],UB40,Reggae,,3.27,0.99
90’s Music,Breaking The Girl,Blood Sugar Sex Magik,Red Hot Chili Peppers,Alternative & Punk,Anthony Kiedis/Chad Smith/Flea/John Frusciante,4.92,0.99
90’s Music,Breed,From The Muddy Banks Of The Wishkah [Live],Nirvana,Rock,Kurt Cobain,3.47,0.99
90’s Music,Breed,Nevermind,Nirvana,Rock,Kurt Cobain,3.07,0.99
90’s Music,Bring Me Your Cup,UB40 The Best Of - Volume Two [UK],UB40,Reggae,,5.69,0.99
90’s Music,Bring Your Daughter... ...To The Slaughter,No Prayer For The Dying,Iron Maiden,Metal,Bruce Dickinson,4.74,0.99
90’s Music,Bring Your Daughter... To The Slaughter,A Real Live One,Iron Maiden,Metal,Bruce Dickinson,5.3,0.99
90’s Music,Bring Your Daughter... To The Slaughter...,Live At Donington 1992 (Disc 2),Iron Maiden,Rock,,6.28,0.99
90’s Music,Bringin' On The Heartbreak,Vault: Def Leppard's Greatest Hits,Def Leppard,Rock,,4.54,0.99
90’s Music,Bullet With Butterfly Wings,Rotten Apples: Greatest Hits,Smashing Pumpkins,Alternative & Punk,Billy Corgan,4.29,0.99
90’s Music,Burden In My Hand,A-Sides,Soundgarden,Rock,Chris Cornell,4.87,0.99
90’s Music,Burning Up,Walking Into Clarksdale,Page & Plant,Rock,"Jimmy Page, Robert Plant, Charlie Jones, Michael Lee",5.36,0.99
90’s Music,Butterfly,Synkronized,Jamiroquai,R&B/Soul,Jay Kay/Toby Smith,4.48,0.99
90’s Music,By-Tor And The Snow Dog,Retrospective I (1974-1980),Rush,Rock,Geddy Lee And Alex Lifeson/Geddy Lee And Neil Peart/Rush,8.66,0.99
90’s Music,Bê-a-Bá,Cesta Básica,Raimundos,Alternative & Punk,Rodolfo,4.15,0.99
90’s Music,C'Mon Everybody,BackBeat Soundtrack,BackBeat,Rock And Roll,Eddie Cochran/Jerry Capehart,2.34,0.99
90’s Music,C'est La Vie,UB40 The Best Of - Volume Two [UK],UB40,Reggae,,4.5,0.99
90’s Music,Cabeça Dinossauro,Acústico,Titãs,Alternative & Punk,Titãs,0.62,0.99
90’s Music,Caffeine,Angel Dust,Faith No More,Alternative & Punk,,4.47,0.99
90’s Music,Cajueiro,Cesta Básica,Raimundos,Alternative & Punk,Rodolfo,2.64,0.99
90’s Music,Caleidoscópio,Acústico MTV,Os Paralamas Do Sucesso,Latin,Herbert Vianna,4.28,0.99
90’s Music,Californication,Californication,Red Hot Chili Peppers,Rock,Red Hot Chili Peppers,5.36,0.99
90’s Music,Call Me At Cleo´s,Roda De Funk,Funk Como Le Gusta,Latin,,3.94,0.99
90’s Music,Call Me a Dog,Temple of the Dog,Temple of the Dog,Alternative,,5.07,0.99
90’s Music,Call Of The Wild,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,Deep Purple,Rock,"Richie Blackmore, Ian Gillian, Roger Glover, Jon Lord",4.9,0.99
90’s Music,Calling Dr. Love,Greatest Kiss,Kiss,Rock,Gene Simmons,3.76,0.99
90’s Music,Camarão que Dorme e Onda Leva,Ao Vivo [IMPORT],Zeca Pagodinho,Latin,"Acyi Marques/Arlindo Bruz/Braço, Beto Sem/Zeca Pagodinho",4.99,0.99
90’s Music,Can I Play With Madness,A Real Live One,Iron Maiden,Metal,Adrian Smith/Bruce Dickinson/Steve Harris,4.71,0.99
90’s Music,Can I Play With Madness,Live At Donington 1992 (Disc 1),Iron Maiden,Rock,,3.55,0.99
90’s Music,Can't Get This Stuff No More,"The Best Of Van Halen, Vol. I",Van Halen,Rock,"Edward Van Halen, Alex Van Halen, Michael Anthony,/Edward Van Halen, Alex Van Halen, Michael Anthony, David Lee Roth",5.26,0.99
90’s Music,Can't Stand Losing You,The Police Greatest Hits,The Police,Rock,G M Sumner,3.02,0.99
90’s Music,Can't Stop Loving You,"The Best Of Van Halen, Vol. I",Van Halen,Rock,Van Halen,4.14,0.99
90’s Music,Canned Heat,Synkronized,Jamiroquai,R&B/Soul,Jay Kay,5.53,0.99
90’s Music,Caralho Voador,King For A Day Fool For A Lifetime,Faith No More,Rock,"Mike Bordin, Billy Gould, Mike Patton, Trey Spruance",4.04,0.99
90’s Music,Caras Como Eu,Volume Dois,Titãs,Alternative & Punk,Toni Bellotto,3.05,0.99
90’s Music,Carmen: Overture,Bizet: Carmen Highlights,"Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker",Classical,Georges Bizet,2.22,0.99
90’s Music,Carmina Burana: O Fortuna,Carmina Burana,Boston Symphony Orchestra & Seiji Ozawa,Classical,Carl Orff,2.61,0.99
90’s Music,Carol,BackBeat Soundtrack,BackBeat,Rock And Roll,Chuck Berry,2.4,0.99
90’s Music,Carolina,Prenda Minha,Caetano Veloso,Latin,Chico Buarque,3.03,0.99
90’s Music,Carpe Diem Baby,ReLoad,Metallica,Metal,"Hetfield, Ulrich, Hammett",6.21,0.99
90’s Music,Cascades : I'm Not Your Lover,Purpendicular,Deep Purple,Rock,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",4.73,0.99
90’s Music,Cavalleria Rusticana \ Act \ Intermezzo Sinfonico,Mascagni: Cavalleria Rusticana,James Levine,Classical,Pietro Mascagni,4.06,0.99
90’s Music,Chains Of Misery,Fear Of The Dark,Iron Maiden,Rock,Bruce Dickinson/David Murray,3.62,0.99
90’s Music,Chaos-Control,[1997] Black Light Syndrome,"Terry Bozzio, Tony Levin & Steve Stevens",Rock,"Terry Bozzio, Steve Stevens, Tony Levin",8.83,0.99
90’s Music,Chemical Wedding,Chemical Wedding,Bruce Dickinson,Metal,Roy Z,4.1,0.99
90’s Music,Cherub Rock,Rotten Apples: Greatest Hits,Smashing Pumpkins,Alternative & Punk,Billy Corgan,4.99,0.99
90’s Music,Chico Não Vai na Corimba,Ao Vivo [IMPORT],Zeca Pagodinho,Latin,Dudu Nobre/Zeca Pagodinho,4.49,0.99
90’s Music,Child In Time (Son Of Aleric - Instrumental),Knocking at Your Back Door: The Best Of Deep Purple in the 80's,Deep Purple,Rock,"Richie Blackmore, Ian Gillian, Roger Glover, Jon Lord, Ian Paice",10.05,0.99
90’s Music,Childhood's End,Fear Of The Dark,Iron Maiden,Rock,Steve Harris,4.68,0.99
